dataset,activity_intensity,activity_intensity_norm
FP32 GEMM,10.363223840236001,0.2590757743664247
FP32 GEMM,10.363223840236001,0.2590757743664247
FP32 GEMM,9.535479418109192,0.23838254893329464
FP32 GEMM,9.535564054245308,0.23838466479731932
FP32 GEMM,9.534351681222647,0.23835435603582686
FP32 GEMM,9.534351681222647,0.23835435603582686
FP32 GEMM,9.91175587361645,0.24778928525292393
FP32 GEMM,9.91175587361645,0.24778928525292393
FP32 GEMM,15.80917879676333,0.3952221144704571
FP32 GEMM,15.80917879676333,0.3952221144704571
FP32 GEMM,15.512208774714129,0.38779800208881626
FP32 GEMM,15.512208774714129,0.38779800208881626
FP32 GEMM,15.80917879676333,0.3952221144704571
FP32 GEMM,15.80917879676333,0.3952221144704571
FP32 GEMM,15.80917879676333,0.3952221144704571
FP32 GEMM,15.80917879676333,0.3952221144704571
FP32 GEMM,9.699928576894168,0.24249370139057422
FP32 GEMM,9.700453087157417,0.24250681390311948
FP32 GEMM,8.870657970693072,0.22176232206566612
FP32 GEMM,8.870533667931292,0.2217592145544553
FP32 GEMM,8.86974062479831,0.22173938884510547
FP32 GEMM,8.86974062479831,0.22173938884510547
FP32 GEMM,8.484245184712004,0.2121021822002656
FP32 GEMM,8.484245184712004,0.2121021822002656
FP32 GEMM,8.871397148201169,0.22178080115945553
FP32 GEMM,8.86974062479831,0.22173938884510547
FP32 GEMM,8.86974062479831,0.22173938884510547
FP32 GEMM,8.86974062479831,0.22173938884510547
FP32 GEMM,9.724274957547136,0.24310234957939342
FP32 GEMM,9.724274957547136,0.24310234957939342
FP32 GEMM,8.87075819209018,0.22176482755396437
FP32 GEMM,8.870480545792775,0.2217578865257082
FP32 GEMM,8.86974062479831,0.22173938884510547
FP32 GEMM,8.86974062479831,0.22173938884510547
FP32 GEMM,9.122072517892088,0.22804756877139448
FP32 GEMM,9.122072517892088,0.22804756877139448
FP32 GEMM,9.628580404550096,0.24071003027773946
FP32 GEMM,9.628580404550096,0.24071003027773946
FP32 GEMM,9.628580404550096,0.24071003027773946
FP32 GEMM,9.628580404550096,0.24071003027773946
FP32 GEMM,9.628580404550096,0.24071003027773946
FP32 GEMM,9.628580404550096,0.24071003027773946
FP32 GEMM,9.628707018314815,0.24071319556294854
FP32 GEMM,9.628721048502818,0.24071354631112088
FP32 GEMM,9.628580404550096,0.24071003027773946
FP32 GEMM,9.628580404550096,0.24071003027773946
FP32 GEMM,10.211099969001827,0.25527274836339725
FP32 GEMM,10.211218806443014,0.25527571924413606
FP32 GEMM,10.21110219026241,0.25527280389387835
FP32 GEMM,10.211310568913607,0.2552780132632071
FP32 GEMM,10.211595403021974,0.2552851339833931
FP32 GEMM,10.211282845851642,0.2552773201995565
FP32 GEMM,10.211109470790662,0.25527298590369724
FP32 GEMM,10.211288088955303,0.25527745127470863
FP32 GEMM,14.801224602765387,0.3700237285857461
FP32 GEMM,14.801224602765387,0.3700237285857461
FP32 GEMM,14.297947523093537,0.3574420357508755
FP32 GEMM,14.297947523093537,0.3574420357508755
FP32 GEMM,14.706272136363028,0.3676499611036927
FP32 GEMM,14.706272136363028,0.3676499611036927
FP32 GEMM,14.76877758290847,0.36921256818576753
FP32 GEMM,14.76877758290847,0.36921256818576753
FP32 GEMM,9.38558168856111,0.2346351754366749
FP32 GEMM,9.385522321154655,0.23463369127913505
FP32 GEMM,9.386957574862636,0.23466957195406207
FP32 GEMM,9.3856435638729,0.23463672229068125
FP32 GEMM,8.968286213215242,0.22420298270577135
FP32 GEMM,8.968286213215242,0.22420298270577135
FP32 GEMM,9.38554196762498,0.23463418243175235
FP32 GEMM,9.385462628265897,0.23463219898468907
FP32 GEMM,9.384723278854606,0.2346137155933998
FP32 GEMM,9.384723278854606,0.2346137155933998
FP32 GEMM,10.239163777772879,0.2559743305255814
FP32 GEMM,10.239163777772879,0.2559743305255814
FP32 GEMM,9.385507802084893,0.2346333283091462
FP32 GEMM,9.385640363536481,0.23463664228375977
FP32 GEMM,9.384723278854606,0.2346137155933998
FP32 GEMM,9.384723278854606,0.2346137155933998
FP32 GEMM,9.654738477365576,0.2413639699277055
FP32 GEMM,9.654738477365576,0.2413639699277055
FP32 GEMM,9.446662963064771,0.2361621788803218
FP32 GEMM,9.446661343497363,0.2361621383918901
FP32 GEMM,9.446486463543021,0.23615776647439699
FP32 GEMM,9.446486463543021,0.23615776647439699
FP32 GEMM,9.446486463543021,0.23615776647439699
FP32 GEMM,9.446486463543021,0.23615776647439699
FP32 GEMM,9.446544528893302,0.23615921808113827
FP32 GEMM,9.446543997710013,0.23615920480180316
FP32 GEMM,9.446486463543021,0.23615776647439699
FP32 GEMM,9.446486463543021,0.23615776647439699
